,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date
2438,39,Luke Bryan,One Margarita,44,39,6,6/20/2020
2439,40,Camila Cabello Featuring DaBaby,My Oh My,34,12,27,6/20/2020
2440,41,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,39,39,20,6/20/2020
2441,42,BENEE Featuring Gus Dapperton,Supalonely,43,39,13,6/20/2020
2442,43,6ix9ine,Gooba,37,3,5,6/20/2020
2443,44,NLE Choppa Featuring Roddy Ricch,Walk Em Down,45,44,12,6/20/2020
2444,45,Miranda Lambert,Bluebird,46,45,10,6/20/2020
2445,46,blackbear,Hot Girl Bummer,47,11,39,6/20/2020
2446,47,Lil Baby,Emotionally Scarred,52,31,15,6/20/2020
2447,48,Pop Smoke,Dior,54,30,17,6/20/2020
2448,49,Kenny Chesney,Here And Now,48,48,10,6/20/2020
2449,50,Tones And I,Dance Monkey,49,4,36,6/20/2020
2450,51,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,51,36,13,6/20/2020
2451,52,Drake Featuring Giveon,Chicago Freestyle,59,14,6,6/20/2020
2452,53,JP Saxe Featuring Julia Michaels,If The World Was Ending,58,53,11,6/20/2020
2453,54,The Weeknd,In Your Eyes,53,16,12,6/20/2020
2454,55,JACKBOYS Featuring Young Thug,Out West,61,38,22,6/20/2020
2455,56,Florida Georgia Line,I Love My Country,62,56,8,6/20/2020
2456,57,Don Toliver,After Party,57,57,8,6/20/2020
2457,58,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,60,58,10,6/20/2020
2458,59,Polo G Featuring Juice WRLD,Flex,56,30,4,6/20/2020
2459,60,Maddie & Tae,Die From A Broken Heart,70,60,9,6/20/2020
2460,61,Jhene Aiko,P*$$y Fairy (OTW),68,40,21,6/20/2020
2461,62,PARTYNEXTDOOR & Rihanna,Believe It,63,23,11,6/20/2020
2462,63,Scotty McCreery,In Between,69,63,9,6/20/2020
2463,64,Meek Mill,Otherside Of America,0,64,1,6/20/2020
2464,65,Keith Urban,God Whispered Your Name,71,65,8,6/20/2020
2465,66,Bad Bunny,Yo Perreo Sola,67,53,13,6/20/2020
2466,67,Regard,Ride It.,65,62,9,6/20/2020
2467,68,Jonas Brothers Featuring Karol G,X,72,33,4,6/20/2020
2468,69,Katy Perry,Daisies,74,40,4,6/20/2020
2469,70,twenty one pilots,Level Of Concern,64,23,9,6/20/2020
2470,71,Young T & Bugsey Featuring Headie One,Don't Rush,79,71,5,6/20/2020
2471,72,Migos Featuring YoungBoy Never Broke Again,Need It,76,62,3,6/20/2020
2472,73,Gunna Featuring Young Thug,Dollaz On My Head,73,38,3,6/20/2020
2473,74,Carrie Underwood,Drinking Alone,77,74,6,6/20/2020
2474,75,Juice WRLD,Righteous,75,11,7,6/20/2020
2475,76,Jason Aldean,Got What I Got,78,76,2,6/20/2020
2476,77,Juice WRLD & Trippie Redd,Tell Me U Luv Me,41,41,2,6/20/2020
2477,78,LOCASH,One Big Country Song,82,78,2,6/20/2020
2478,79,Doja Cat Featuring Gucci Mane,Like That,92,79,2,6/20/2020
2479,80,Sleepy Hallow,Deep End Freestyle,0,80,1,6/20/2020
2480,81,Lil Baby & 42 Dugg,Grace,85,48,12,6/20/2020
2481,82,Lady Gaga & BLACKPINK,Sour Candy,33,33,2,6/20/2020
2482,83,Justin Moore,Why We Drink,87,83,2,6/20/2020
2483,84,Rod Wave,Girl Of My Dreams,91,84,4,6/20/2020
2484,85,Kane Brown,Cool Again,0,68,2,6/20/2020
2485,86,"NAV, Gunna & Travis Scott",Turks,89,17,11,6/20/2020
2486,87,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,97,87,2,6/20/2020
2487,88,Noah Cyrus & Leon Bridges,July,98,85,14,6/20/2020
2488,89,Gunna Featuring Roddy Ricch,Cooler Than A Bitch,81,41,3,6/20/2020
2489,90,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,0,90,1,6/20/2020
2490,91,Lil Baby,All In,99,45,6,6/20/2020
2491,92,Lil Uzi Vert,That Way,94,20,12,6/20/2020
2492,93,Ashley McBryde,One Night Standards,0,93,1,6/20/2020
2493,94,Lee Brice,One Of Them Girls,90,90,2,6/20/2020
2494,95,Brantley Gilbert,Hard Days,0,95,1,6/20/2020
2495,96,Brett Young,Catch,0,29,17,6/20/2020
2496,97,Surf Mesa Featuring Emilee,ily,96,96,3,6/20/2020
2497,98,Polo G,21,0,62,3,6/20/2020
2498,99,Future Featuring YoungBoy Never Broke Again,Trillionaire,95,34,4,6/20/2020
2499,100,Kane Brown,Worldwide Beautiful,0,100,1,6/20/2020
2500,1,6ix9ine & Nicki Minaj,Trollz,0,1,1,6/27/2020
2501,2,DaBaby Featuring Roddy Ricch,Rockstar,1,1,9,6/27/2020
2502,3,Lil Baby,The Bigger Picture,0,3,1,6/27/2020
2503,4,Megan Thee Stallion,Savage,2,1,14,6/27/2020
2504,5,The Weeknd,Blinding Lights,3,1,29,6/27/2020
2505,6,Doja Cat Featuring Nicki Minaj,Say So,4,1,24,6/27/2020
2506,7,Justin Bieber Featuring Quavo,Intentions,5,5,19,6/27/2020
2507,8,SAINt JHN,Roses,7,7,13,6/27/2020
2508,9,Lady Gaga & Ariana Grande,Rain On Me,10,1,4,6/27/2020
2509,10,Roddy Ricch,The Box,9,1,28,6/27/2020
2510,11,Lil Mosey,Blueberry Faygo,12,11,19,6/27/2020
2511,12,Drake,Toosie Slide,6,1,11,6/27/2020
2512,13,Post Malone,Circles,11,1,42,6/27/2020
2513,14,Dua Lipa,Don't Start Now,8,2,33,6/27/2020
2514,15,Maren Morris,The Bones,13,12,39,6/27/2020
2515,16,Harry Styles,Adore You,14,6,28,6/27/2020
2516,17,Future Featuring Drake,Life Is Good,15,2,23,6/27/2020
2517,18,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,16,16,19,6/27/2020
2518,19,Harry Styles,Watermelon Sugar,29,19,13,6/27/2020
2519,20,Trevor Daniel,Falling,17,17,31,6/27/2020
2520,21,Surfaces,Sunday Best,19,19,16,6/27/2020
2521,22,StaySolidRocky,Party Girl,21,21,8,6/27/2020
2522,23,Gabby Barrett Featuring Charlie Puth,I Hope,18,16,25,6/27/2020
2523,24,Powfu Featuring beabadoobee,Death Bed,23,23,14,6/27/2020
2524,25,Dua Lipa,Break My Heart,26,21,12,6/27/2020
2525,26,Ariana Grande & Justin Bieber,Stuck With U,20,1,6,6/27/2020
2526,27,Lil Baby & 42 Dugg,We Paid,34,27,7,6/27/2020
2527,28,Sam Hunt,Hard To Forget,30,28,12,6/27/2020
2528,29,Lewis Capaldi,Before You Go,27,27,20,6/27/2020
2529,30,Roddy Ricch Featuring Mustard,High Fashion,24,20,25,6/27/2020
2530,31,Morgan Wallen,Chasin' You,22,16,21,6/27/2020
2531,32,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,25,1,8,6/27/2020
2532,33,Miranda Lambert,Bluebird,45,33,11,6/27/2020
2533,34,Chris Brown & Young Thug,Go Crazy,37,34,6,6/27/2020
2534,35,Luke Bryan,One Margarita,39,35,7,6/27/2020
2535,36,6ix9ine,Gooba,43,3,6,6/27/2020
2536,37,Lil Baby,Emotionally Scarred,47,31,16,6/27/2020
2537,38,NLE Choppa Featuring Roddy Ricch,Walk Em Down,44,38,13,6/27/2020
2538,39,Maroon 5,Memories,32,2,39,6/27/2020
2539,40,Marshmello & Halsey,Be Kind,33,29,7,6/27/2020
2540,41,Carly Pearce & Lee Brice,I Hope You're Happy Now,31,27,24,6/27/2020
2541,42,Luke Combs Featuring Eric Church,Does To Me,28,20,14,6/27/2020
2542,43,Billie Eilish,Everything I Wanted,36,8,32,6/27/2020
2543,44,Blake Shelton Duet With Gwen Stefani,Nobody But You,38,18,23,6/27/2020
2544,45,BENEE Featuring Gus Dapperton,Supalonely,42,39,14,6/27/2020
2545,46,Kenny Chesney,Here And Now,49,46,11,6/27/2020
2546,47,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,41,39,21,6/27/2020
2547,48,Travis Denning,After A Few,35,31,12,6/27/2020
2548,49,Pop Smoke,Dior,48,30,18,6/27/2020
2549,50,blackbear,Hot Girl Bummer,46,11,40,6/27/2020
2550,51,Pop Smoke Featuring Rowdy Rebel,Make It Rain,0,51,1,6/27/2020
2551,52,Kid LAROI & Juice WRLD,Go!,0,52,1,6/27/2020
2552,53,Scotty McCreery,In Between,63,53,10,6/27/2020
2553,54,NLE Choppa,Shotta Flow 5,0,54,1,6/27/2020
2554,55,JP Saxe Featuring Julia Michaels,If The World Was Ending,53,53,12,6/27/2020
2555,56,Young T & Bugsey Featuring Headie One,Don't Rush,71,56,6,6/27/2020
2556,57,Maddie & Tae,Die From A Broken Heart,60,57,10,6/27/2020
2557,58,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,51,36,14,6/27/2020
2558,59,J. Cole,Snow On Tha Bluff,0,59,1,6/27/2020
2559,60,Florida Georgia Line,I Love My Country,56,56,9,6/27/2020
2560,61,Jhene Aiko,P*$$y Fairy (OTW),61,40,22,6/27/2020
2561,62,Drake Featuring Giveon,Chicago Freestyle,52,14,7,6/27/2020
2562,63,Don Toliver,After Party,57,57,9,6/27/2020
2563,64,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,58,58,11,6/27/2020
2564,65,Tyla Yaweh & Post Malone,Tommy Lee,0,65,1,6/27/2020
2565,66,PARTYNEXTDOOR & Rihanna,Believe It,62,23,12,6/27/2020
2566,67,The Weeknd,In Your Eyes,54,16,13,6/27/2020
2567,68,Polo G Featuring Juice WRLD,Flex,59,30,5,6/27/2020
2568,69,Keith Urban,God Whispered Your Name,65,65,9,6/27/2020
2569,70,Bad Bunny,Yo Perreo Sola,66,53,14,6/27/2020
2570,71,Jason Aldean,Got What I Got,76,71,3,6/27/2020
2571,72,Surf Mesa Featuring Emilee,ily,97,72,4,6/27/2020
2572,73,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,90,73,2,6/27/2020
2573,74,Migos Featuring YoungBoy Never Broke Again,Need It,72,62,4,6/27/2020
2574,75,Gunna Featuring Young Thug,Dollaz On My Head,73,38,4,6/27/2020
2575,76,Katy Perry,Daisies,69,40,5,6/27/2020
2576,77,LOCASH,One Big Country Song,78,77,3,6/27/2020
2577,78,Lil Baby & 42 Dugg,Grace,81,48,13,6/27/2020
2578,79,twenty one pilots,Level Of Concern,70,23,10,6/27/2020
2579,80,Jonas Brothers Featuring Karol G,X,68,33,5,6/27/2020
2580,81,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),0,81,1,6/27/2020
2581,82,Regard,Ride It.,67,62,10,6/27/2020
2582,83,Chloe X Halle,Do It,0,83,1,6/27/2020
2583,84,Polo G,21,98,62,4,6/27/2020
2584,85,Doja Cat Featuring Gucci Mane,Like That,79,79,3,6/27/2020
2585,86,Justin Moore,Why We Drink,83,83,3,6/27/2020
2586,87,Meek Mill,Otherside Of America,64,64,2,6/27/2020
2587,88,Carrie Underwood,Drinking Alone,74,74,7,6/27/2020
2588,89,Juice WRLD,Righteous,75,11,8,6/27/2020
2589,90,Rod Wave,Girl Of My Dreams,84,84,5,6/27/2020
2590,91,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,87,87,3,6/27/2020
2591,92,Chris Janson,Done,0,92,1,6/27/2020
2592,93,Kane Brown,Cool Again,85,68,3,6/27/2020
2593,94,Sleepy Hallow,Deep End Freestyle,80,80,2,6/27/2020
2594,95,Lil Baby,All In,91,45,7,6/27/2020
2595,96,Zac Brown Band,The Man Who Loves You The Most,0,96,1,6/27/2020
2596,97,Ashley McBryde,One Night Standards,93,93,2,6/27/2020
2597,98,Lee Brice,One Of Them Girls,94,90,3,6/27/2020
2598,99,Noah Cyrus & Leon Bridges,July,88,85,15,6/27/2020
2599,100,J.I The Prince Of N.Y,Need Me,0,100,1,6/27/2020
2600,1,DaBaby Featuring Roddy Ricch,Rockstar,2,1,10,7/4/2020
2601,2,Megan Thee Stallion,Savage,4,1,15,7/4/2020
2602,3,The Weeknd,Blinding Lights,5,1,30,7/4/2020
2603,4,SAINt JHN,Roses,8,4,14,7/4/2020
2604,5,Justin Bieber Featuring Quavo,Intentions,7,5,20,7/4/2020
2605,6,Doja Cat Featuring Nicki Minaj,Say So,6,1,25,7/4/2020
2606,7,Lil Baby,The Bigger Picture,3,3,2,7/4/2020
2607,8,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,18,8,20,7/4/2020
2608,9,Lil Mosey,Blueberry Faygo,11,9,20,7/4/2020
2609,10,Post Malone,Circles,13,1,43,7/4/2020
2610,11,Lady Gaga & Ariana Grande,Rain On Me,9,1,5,7/4/2020
2611,12,Harry Styles,Adore You,16,6,29,7/4/2020
2612,13,Maren Morris,The Bones,15,12,40,7/4/2020
2613,14,Dua Lipa,Don't Start Now,14,2,34,7/4/2020
2614,15,Roddy Ricch,The Box,10,1,29,7/4/2020
2615,16,Harry Styles,Watermelon Sugar,19,16,14,7/4/2020
2616,17,Gabby Barrett Featuring Charlie Puth,I Hope,23,16,26,7/4/2020
2617,18,Lil Baby & 42 Dugg,We Paid,27,18,8,7/4/2020
2618,19,Trevor Daniel,Falling,20,17,32,7/4/2020
2619,20,Drake,Toosie Slide,12,1,12,7/4/2020
2620,21,Future Featuring Drake,Life Is Good,17,2,24,7/4/2020
2621,22,Surfaces,Sunday Best,21,19,17,7/4/2020
2622,23,Dua Lipa,Break My Heart,25,21,13,7/4/2020
2623,24,Powfu Featuring beabadoobee,Death Bed,24,23,15,7/4/2020
2624,25,StaySolidRocky,Party Girl,22,21,9,7/4/2020
2625,26,Sam Hunt,Hard To Forget,28,26,13,7/4/2020
2626,27,Lewis Capaldi,Before You Go,29,27,21,7/4/2020
2627,28,Ariana Grande & Justin Bieber,Stuck With U,26,1,7,7/4/2020
2628,29,Luke Bryan,One Margarita,35,29,8,7/4/2020
2629,30,Morgan Wallen,Chasin' You,31,16,22,7/4/2020
2630,31,Roddy Ricch Featuring Mustard,High Fashion,30,20,26,7/4/2020
2631,32,Chris Brown & Young Thug,Go Crazy,34,32,7,7/4/2020
2632,33,Miranda Lambert,Bluebird,33,33,12,7/4/2020
2633,34,6ix9ine & Nicki Minaj,Trollz,1,1,2,7/4/2020
2634,35,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,32,1,9,7/4/2020
2635,36,Lil Baby,Emotionally Scarred,37,31,17,7/4/2020
2636,37,Beyonce,Black Parade,0,37,1,7/4/2020
2637,38,Kenny Chesney,Here And Now,46,38,12,7/4/2020
2638,39,NLE Choppa Featuring Roddy Ricch,Walk Em Down,38,38,14,7/4/2020
2639,40,Maroon 5,Memories,39,2,40,7/4/2020
2640,41,Marshmello & Halsey,Be Kind,40,29,8,7/4/2020
2641,42,BENEE Featuring Gus Dapperton,Supalonely,45,39,15,7/4/2020
2642,43,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),81,43,2,7/4/2020
2643,44,Blake Shelton Duet With Gwen Stefani,Nobody But You,44,18,24,7/4/2020
2644,45,Carly Pearce & Lee Brice,I Hope You're Happy Now,41,27,25,7/4/2020
2645,46,Pop Smoke,Dior,49,30,19,7/4/2020
2646,47,blackbear,Hot Girl Bummer,50,11,41,7/4/2020
2647,48,Luke Combs Featuring Eric Church,Does To Me,42,20,15,7/4/2020
2648,49,Billie Eilish,Everything I Wanted,43,8,33,7/4/2020
2649,50,6ix9ine,Gooba,36,3,7,7/4/2020
2650,51,Maddie & Tae,Die From A Broken Heart,57,51,11,7/4/2020
2651,52,JP Saxe Featuring Julia Michaels,If The World Was Ending,55,52,13,7/4/2020
2652,53,Florida Georgia Line,I Love My Country,60,53,10,7/4/2020
2653,54,J. Cole,Snow On Tha Bluff,59,54,2,7/4/2020
2654,55,Travis Denning,After A Few,48,31,13,7/4/2020
2655,56,Jhene Aiko,P*$$y Fairy (OTW),61,40,23,7/4/2020
2656,57,A Boogie Wit da Hoodie,Bleed,0,57,1,7/4/2020
2657,58,Young T & Bugsey Featuring Headie One,Don't Rush,56,56,7,7/4/2020
2658,59,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,64,58,12,7/4/2020
2659,60,Scotty McCreery,In Between,53,53,11,7/4/2020
2660,61,Keith Urban,God Whispered Your Name,69,61,10,7/4/2020
2661,62,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,73,62,3,7/4/2020
2662,63,Don Toliver,After Party,63,57,10,7/4/2020
2663,64,Drake Featuring Giveon,Chicago Freestyle,62,14,8,7/4/2020
2664,65,Kid LAROI & Juice WRLD,Go!,52,52,2,7/4/2020
2665,66,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,58,36,15,7/4/2020
2666,67,Jason Aldean,Got What I Got,71,67,4,7/4/2020
2667,68,LOCASH,One Big Country Song,77,68,4,7/4/2020
2668,69,Polo G Featuring Juice WRLD,Flex,68,30,6,7/4/2020
2669,70,PARTYNEXTDOOR & Rihanna,Believe It,66,23,13,7/4/2020
2670,71,Bad Bunny,Yo Perreo Sola,70,53,15,7/4/2020
2671,72,Doja Cat Featuring Gucci Mane,Like That,85,72,4,7/4/2020
2672,73,Justin Moore,Why We Drink,86,73,4,7/4/2020
2673,74,Surf Mesa Featuring Emilee,ily,72,72,5,7/4/2020
2674,75,Migos Featuring YoungBoy Never Broke Again,Need It,74,62,5,7/4/2020
2675,76,Chris Janson,Done,92,76,2,7/4/2020
2676,77,Lil Baby & 42 Dugg,Grace,78,48,14,7/4/2020
2677,78,Kane Brown,Cool Again,93,68,4,7/4/2020
2678,79,Katy Perry,Daisies,76,40,6,7/4/2020
2679,80,The Weeknd,In Your Eyes,67,16,14,7/4/2020
2680,81,Lee Brice,One Of Them Girls,98,81,4,7/4/2020
2681,82,Gunna Featuring Young Thug,Dollaz On My Head,75,38,5,7/4/2020
2682,83,NLE Choppa,Shotta Flow 5,54,54,2,7/4/2020
2683,84,Polo G,21,84,62,5,7/4/2020
2684,85,Jonas Brothers Featuring Karol G,X,80,33,6,7/4/2020
2685,86,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,91,86,4,7/4/2020
2686,87,Ashley McBryde,One Night Standards,97,87,3,7/4/2020
2687,88,Tyla Yaweh & Post Malone,Tommy Lee,65,65,2,7/4/2020
2688,89,Rod Wave,Girl Of My Dreams,90,84,6,7/4/2020
2689,90,twenty one pilots,Level Of Concern,79,23,11,7/4/2020
2690,91,Chloe X Halle,Do It,83,83,2,7/4/2020
2691,92,Breland,My Truck,0,92,1,7/4/2020
2692,93,Juice WRLD,Righteous,89,11,9,7/4/2020
2693,94,YoungBoy Never Broke Again Featuring Lil Baby,One Shot,0,94,1,7/4/2020
2694,95,J.I The Prince Of N.Y,Need Me,100,95,2,7/4/2020
2695,96,Parker McCollum,Pretty Heart,0,96,1,7/4/2020
2696,97,Morgan Wallen,More Than My Hometown,0,61,2,7/4/2020
2697,98,Lil Baby,All In,95,45,8,7/4/2020
2698,99,AJR,Bang!,0,99,1,7/4/2020
2699,100,Noah Cyrus & Leon Bridges,July,99,85,16,7/4/2020
2700,1,DaBaby Featuring Roddy Ricch,Rockstar,1,1,11,7/11/2020
2701,2,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,8,2,21,7/11/2020
2702,3,The Weeknd,Blinding Lights,3,1,31,7/11/2020
2703,4,Megan Thee Stallion,Savage,2,1,16,7/11/2020
2704,5,SAINt JHN,Roses,4,4,15,7/11/2020
2705,6,Doja Cat Featuring Nicki Minaj,Say So,6,1,26,7/11/2020
2706,7,Justin Bieber Featuring Quavo,Intentions,5,5,21,7/11/2020
2707,8,Harry Styles,Watermelon Sugar,16,8,15,7/11/2020
2708,9,Lil Mosey,Blueberry Faygo,9,9,21,7/11/2020
2709,10,Lil Baby & 42 Dugg,We Paid,18,10,9,7/11/2020
2710,11,Harry Styles,Adore You,12,6,30,7/11/2020
2711,12,Lady Gaga & Ariana Grande,Rain On Me,11,1,6,7/11/2020
2712,13,Post Malone,Circles,10,1,44,7/11/2020
2713,14,Lil Baby,The Bigger Picture,7,3,3,7/11/2020
2714,15,Dua Lipa,Don't Start Now,14,2,35,7/11/2020
2715,16,Roddy Ricch,The Box,15,1,30,7/11/2020
2716,17,Maren Morris,The Bones,13,12,41,7/11/2020
2717,18,Future Featuring Drake,Life Is Good,21,2,25,7/11/2020
2718,19,Trevor Daniel,Falling,19,17,33,7/11/2020
2719,20,Dua Lipa,Break My Heart,23,20,14,7/11/2020
2720,21,Gabby Barrett Featuring Charlie Puth,I Hope,17,16,27,7/11/2020
2721,22,Luke Bryan,One Margarita,29,22,9,7/11/2020
2722,23,Surfaces,Sunday Best,22,19,18,7/11/2020
2723,24,Powfu Featuring beabadoobee,Death Bed,24,23,16,7/11/2020
2724,25,Lewis Capaldi,Before You Go,27,25,22,7/11/2020
2725,26,Drake,Toosie Slide,20,1,13,7/11/2020
2726,27,Sam Hunt,Hard To Forget,26,26,14,7/11/2020
2727,28,Megan Thee Stallion,Girls In The Hood,0,28,1,7/11/2020
2728,29,StaySolidRocky,Party Girl,25,21,10,7/11/2020
2729,30,Chris Brown & Young Thug,Go Crazy,32,30,8,7/11/2020
2730,31,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),43,31,3,7/11/2020
2731,32,Morgan Wallen,Chasin' You,30,16,23,7/11/2020
2732,33,BLACKPINK,How You Like That,0,33,1,7/11/2020
2733,34,Ariana Grande & Justin Bieber,Stuck With U,28,1,8,7/11/2020
2734,35,Miranda Lambert,Bluebird,33,33,13,7/11/2020
2735,36,Roddy Ricch Featuring Mustard,High Fashion,31,20,27,7/11/2020
2736,37,Lil Baby,Emotionally Scarred,36,31,18,7/11/2020
2737,38,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,35,1,10,7/11/2020
2738,39,Marshmello & Halsey,Be Kind,41,29,9,7/11/2020
2739,40,NLE Choppa Featuring Roddy Ricch,Walk Em Down,39,38,15,7/11/2020
2740,41,BENEE Featuring Gus Dapperton,Supalonely,42,39,16,7/11/2020
2741,42,Maroon 5,Memories,40,2,41,7/11/2020
2742,43,Blake Shelton Duet With Gwen Stefani,Nobody But You,44,18,25,7/11/2020
2743,44,Pop Smoke,Dior,46,30,20,7/11/2020
2744,45,Maddie & Tae,Die From A Broken Heart,51,45,12,7/11/2020
2745,46,blackbear,Hot Girl Bummer,47,11,42,7/11/2020
2746,47,Kenny Chesney,Here And Now,38,38,13,7/11/2020
2747,48,Florida Georgia Line,I Love My Country,53,48,11,7/11/2020
2748,49,Kanye West Featuring Travis Scott,Wash Us In The Blood,0,49,1,7/11/2020
2749,50,JP Saxe Featuring Julia Michaels,If The World Was Ending,52,50,14,7/11/2020
2750,51,Doja Cat Featuring Gucci Mane,Like That,72,51,5,7/11/2020
2751,52,Jason Aldean,Got What I Got,67,52,5,7/11/2020
2752,53,Luke Combs Featuring Eric Church,Does To Me,48,20,16,7/11/2020
2753,54,6ix9ine & Nicki Minaj,Trollz,34,1,3,7/11/2020
2754,55,6ix9ine,Gooba,50,3,8,7/11/2020
2755,56,Scotty McCreery,In Between,60,53,12,7/11/2020
2756,57,Young T & Bugsey Featuring Headie One,Don't Rush,58,56,8,7/11/2020
2757,58,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,59,58,13,7/11/2020
2758,59,Jhene Aiko,P*$$y Fairy (OTW),56,40,24,7/11/2020
2759,60,Keith Urban,God Whispered Your Name,61,60,11,7/11/2020
2760,61,Don Toliver,After Party,63,57,11,7/11/2020
2761,62,Drake Featuring Giveon,Chicago Freestyle,64,14,9,7/11/2020
2762,63,Chris Janson,Done,76,63,3,7/11/2020
2763,64,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,62,62,4,7/11/2020
2764,65,LOCASH,One Big Country Song,68,65,5,7/11/2020
2765,66,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,66,36,16,7/11/2020
2766,67,Travis Denning,After A Few,55,31,14,7/11/2020
2767,68,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,0,43,3,7/11/2020
2768,69,Justin Moore,Why We Drink,73,69,5,7/11/2020
2769,70,Polo G Featuring Juice WRLD,Flex,69,30,7,7/11/2020
2770,71,Beyonce,Black Parade,37,37,2,7/11/2020
2771,72,Migos Featuring YoungBoy Never Broke Again,Need It,75,62,6,7/11/2020
2772,73,Lee Brice,One Of Them Girls,81,73,5,7/11/2020
2773,74,Bad Bunny,Yo Perreo Sola,71,53,16,7/11/2020
2774,75,6LACK Featuring Lil Baby,Know My Rights,0,75,1,7/11/2020
2775,76,Kane Brown,Cool Again,78,68,5,7/11/2020
2776,77,Trevor Daniel x Selena Gomez,Past Life,0,77,1,7/11/2020
2777,78,Surf Mesa Featuring Emilee,ily,74,72,6,7/11/2020
2778,79,Katy Perry,Daisies,79,40,7,7/11/2020
2779,80,Kid LAROI & Juice WRLD,Go!,65,52,3,7/11/2020
2780,81,Gunna Featuring Young Thug,Dollaz On My Head,82,38,6,7/11/2020
2781,82,Morgan Wallen,More Than My Hometown,97,61,3,7/11/2020
2782,83,Ashley McBryde,One Night Standards,87,83,4,7/11/2020
2783,84,Lil Baby & 42 Dugg,Grace,77,48,15,7/11/2020
2784,85,PARTYNEXTDOOR & Rihanna,Believe It,70,23,14,7/11/2020
2785,86,AJR,Bang!,99,86,2,7/11/2020
2786,87,Polo G,21,84,62,6,7/11/2020
2787,88,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,86,86,5,7/11/2020
2788,89,The Weeknd,In Your Eyes,80,16,15,7/11/2020
2789,90,Rod Wave,Girl Of My Dreams,89,84,7,7/11/2020
2790,91,Chloe X Halle,Do It,91,83,3,7/11/2020
2791,92,Eric Church,Stick That In Your Country Song,0,92,1,7/11/2020
2792,93,Luke Combs,Lovin' On You,0,93,1,7/11/2020
2793,94,Parker McCollum,Pretty Heart,96,94,2,7/11/2020
2794,95,Juice WRLD,Righteous,93,11,10,7/11/2020
2795,96,Rod Wave Featuring ATR Son Son,Rags2Riches,0,96,1,7/11/2020
2796,97,Breland,My Truck,92,92,2,7/11/2020
2797,98,Jonas Brothers Featuring Karol G,X,85,33,7,7/11/2020
2798,99,Tim McGraw,I Called Mama,0,99,1,7/11/2020
2799,100,NLE Choppa,Shotta Flow 5,83,54,3,7/11/2020
2800,1,DaBaby Featuring Roddy Ricch,Rockstar,1,1,12,7/18/2020
2801,2,The Weeknd,Blinding Lights,3,1,32,7/18/2020
2802,3,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,2,2,22,7/18/2020
2803,4,Megan Thee Stallion,Savage,4,1,17,7/18/2020
2804,5,SAINt JHN,Roses,5,4,16,7/18/2020
2805,6,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,0,6,1,7/18/2020
2806,7,Harry Styles,Watermelon Sugar,8,7,16,7/18/2020
2807,8,Lil Mosey,Blueberry Faygo,9,8,22,7/18/2020
2808,9,Doja Cat Featuring Nicki Minaj,Say So,6,1,27,7/18/2020
2809,10,Justin Bieber Featuring Quavo,Intentions,7,5,22,7/18/2020
2810,11,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,0,11,1,7/18/2020
2811,12,Harry Styles,Adore You,11,6,31,7/18/2020
2812,13,Post Malone,Circles,13,1,45,7/18/2020
2813,14,Lil Baby & 42 Dugg,We Paid,10,10,10,7/18/2020
2814,15,Dua Lipa,Don't Start Now,15,2,36,7/18/2020
